# notes:
# this table was generated applying 10^r to the second column
# because the data was log10(N_e/N_A)
# the negative points were symmetrized to interpolate zero radius
#
#  raio          N_e / N_A
 0.0127056   1.0204482847e+02
 0.0127827   1.0203402057e+02
 0.0128235   1.0202814718e+02
 0.0129043   1.0201687124e+02
 0.0129842   1.0200536166e+02
 0.0130237   1.0199972480e+02
 0.0131021   1.0198845199e+02
 0.0131433   1.0198258123e+02
 0.0132250   1.0197084073e+02
 0.0133057   1.0195910158e+02
 0.0133456   1.0195323251e+02
 0.0134249   1.0194149539e+02
 0.0134665   1.0193539262e+02
 0.0135491   1.0192318817e+02
 0.0136306   1.0191098519e+02
 0.0137512   1.0189291807e+02
 0.0137932   1.0188658360e+02
 0.0139179   1.0186758257e+02
 0.0139997   1.0185515171e+02
 0.0141227   1.0183615654e+02
 0.0142060   1.0182326061e+02
 0.0142883   1.0181036630e+02
 0.0144101   1.0179137949e+02
 0.0145363   1.0177122452e+02
 0.0146193   1.0175810250e+02
 0.0147421   1.0173842264e+02
 0.0148641   1.0171874658e+02
 0.0149043   1.0171218875e+02
 0.0150237   1.0169251777e+02
 0.0150979   1.0168034240e+02
 0.0152016   1.0166325252e+02
 0.0153206   1.0164335696e+02
 0.0154189   1.0162697531e+02
 0.0154837   1.0161621166e+02
 0.0156197   1.0159305028e+02
 0.0157091   1.0157784619e+02
 0.0158414   1.0155516123e+02
 0.0159789   1.0153131241e+02
 0.0160694   1.0151565006e+02
 0.0162032   1.0149204422e+02
 0.0163423   1.0146750931e+02
 0.0164338   1.0145115599e+02
 0.0165693   1.0142686451e+02
 0.0167100   1.0140164490e+02
 0.0168026   1.0138483530e+02
 0.0169396   1.0135962614e+02
 0.0170821   1.0133348992e+02
 0.0171757   1.0131622505e+02
 0.0173144   1.0129033325e+02
 0.0174585   1.0126328223e+02
 0.0175533   1.0124532994e+02
 0.0176936   1.0121852400e+02
 0.0178393   1.0119056015e+02
 0.0179352   1.0117215484e+02
 0.0180771   1.0114466958e+02
 0.0182229   1.0111602765e+02
 0.0183188   1.0109717032e+02
 0.0184608   1.0106900728e+02
 0.0186083   1.0103968882e+02
 0.0187054   1.0102014790e+02
